Élément,COSMIC (IoT Smart Building),FFT (Formation + Traduction),Synergie,Économie/Valeur (€),Notes
Assurances,RC professionnelle IoT,RC professionnelle formation,Police unique,2000,Prime réduite
Contrats,Templates clients COSMIC,Templates clients FFT,Legal framework commun,3000,Avocat unique
,,SOUS-TOTAL LEGAL,,,,18000,Sécurité juridique optimisée
,,,,,,
SYNERGIES TOTALES,,,,,330000,Valeur synergies sur 5 ans
ÉCONOMIE vs SÉPARÉ,,,,,-30%,Réduction coûts vs 2 projets indépendants
,,,,,,
ALLOCATION GRANTS,,,,,
Digital Europe,COSMIC (100%),0%,Smart Communities focus,100000,Principal financement COSMIC
Horizon Europe,COSMIC scaling (30%),FFT + BelgBERT (70%),Multi-projets,150000,45k€ COSMIC + 105k€ FFT
Co-financement,Équilibré,Équilibré,15% chaque projet,30000,15k€ COSMIC + 15k€ FFT
,,TOTAL FINANCEMENT,,,,280000,Grants combinés
,,,,,,
JUSTIFICATION SYNERGIES,,,,,
Efficacité,Mutualisation réduit coûts,Mutualisation réduit coûts,30% économie infrastructure,90000,Sur 5 ans vs projets séparés
Innovation,IoT + AI,EdTech + NLP,Cross-pollination ideas,Qualitatif,Innovation accélérée
Résilience,Diversification revenus,Diversification revenus,Risk mitigation,Qualitatif,2 sources revenus complémentaires
Scalabilité,COSMIC scale avec FFT clients,FFT scale avec COSMIC clients,Network effects,Qualitatif,Base clients élargie
Impact EU,Green Deal + Digital,Digital Skills + Inclusion,Multi-objectifs UE,Qualitatif,Contribution large programmes EU
,,,,,,
MESSAGES CLÉS PITCH,,,,,
Deux Projets Distincts,Objectifs et financements différents,Mais synergies infrastructure,330k€ valeur créée,Non redondance avec maximisation efficacité
BelgBERT Stratégique,Développé pour FFT traduction,Mais bénéficie COSMIC interfaces,105k€ économie COSMIC,Investment BelgBERT rentabilisé x2
Infrastructure EU,RGPD + souveraineté données,Pour les 2 projets,100% EU-compliant,Différenciation compétitive majeure
Équipe Optimisée,Compétences transférables,Mobilité interne projets,68k€ économie RH,Efficacité organisationnelle
ROI Combiné,COSMIC: 24.8x grants,FFT: estimation 15-20x,ROI global excellent,Investissement public très rentable
