Résumé,Catégorie,Coût Initial (€),Coût Installation (€),Coût Mise en Service (€),Coût Annuel Récurrent (€),Total Première Année (€),Notes
Avantages COSMIC,Digital Twin First,0€ risk,,,,,Validation avant investissement

ROI Client,Économies Énergie,"-300.00 à -600.00",,,,"par an",30-50% réduction chauffage/clim
ROI Client,Confort Amélioré,Inestimable,,,,,Qualité air + température optimale
ROI Client,ROI Client Total,"18-30 mois",,,,,Installation rentabilisée
ROI Client,Valeur Propriété,"+2-5%",,,,,Smart home augmente valeur

Synthèse,Investment Minimal (Phase 1),0.00,0.00,0.00,0.00,0.00,Digital Twin - Zero risk
Synthèse,Investment Standard (Phase 2 - 1 install),645.00,945.00,950.00,996.00,"3,536.00",Production première installation
Synthèse,Coût Exploitation Annuel (An 2+),0.00,0.00,0.00,"1,236.00","1,236.00",Services + maintenance
Synthèse,Revenus SaaS Annuel (par install),0.00,0.00,0.00,"-1,200.00","-1,200.00",100€/mois récurrent
Synthèse,Profit Net Annuel (An 2+),0.00,0.00,0.00,-36.00,-36.00,Quasi break-even (marge sur volume)
